participant,rater_1,rater_2,rater_3,rater_4,rater_5,performance_1,performance_2,performance_3,performance_4,performance_5,hire_1,hire_2,hire_3,hire_4,hire_5,expansiveness_1,expansiveness_2,expansiveness_3,expansiveness_4,expansiveness_5,gender_1,gender_2,gender_3,gender_4,gender_5,race_1,race_2,race_3,race_4,race_5,Order,Room,qualtrics,cond,Date,Time,RA,Video,Pose,Gamble,Length,Comments,Exclude.Video,Exc.Reason,StartDate,EndDate,powerful,in_charge,dominant,in_control,leader,accomplished,successful,achieving,fullfilled,self.worth,confident,productive,aware_pp,ted_pp,heard_pp,gender,race,exclude_video1,comments_video1,exclude_video2,comments_video2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,1,n,AE,4/18/16,11:15,SA,N,N,N,22,Didn't,want,to,be,video,taped,,N,,4/18/16,11:28,4/18/16,11:30,3,4,3,5,3,3,3,3,4,4,5,4,Y,N,Y,2,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1114,1306,1329,NA,NA,4,5,5,NA,NA,1,1,1,NA,NA,4,3,5,NA,NA,2,2,2,NA,NA,1,5,2,NA,NA,73,1,y,AC,4/4/16,6:30,JD,Y,N,Y,30,Talked,very,fast,and,swayed,back,and,forth,the,entire,speech,N,,4/4/16,18:57,4/4/16,18:58,1,1,1,1,2,2,2,2,1,3,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1056,1253,1297,1143,NA,3,6,4,5,NA,2,1,2,1,NA,3,3,3,3,NA,2,2,1,1,NA,1,1,5,1,NA,52,1,y,UE,3/31/16,12:45,AF,Y,NA,Y,24,Asked,if,could,talk,about,anything,in,speech:,I,think,I,may,have,smiled,once,during,interview,at,one,point,N,,3/31/16,12:33,3/31/16,13:08,2,1,1,1,1,2,3,3,2,4,3,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1164,1001,1330,1376,NA,1,3,2,5,NA,3,3,3,2,NA,1,2,4,6,NA,1,1,2,1,NA,1,1,1,1,NA,172,1,y,AC,4/16/16,2:30,HM,Y,N,N,29,Was,not,holding,pose,when,I,returned,from,the,5,minutes,while,she,was,preparing,,prompted,twice,N,,4/16/16,14:41,4/16/16,14:57,3,3,2,2,2,1,1,1,1,2,2,1,N,N,Y,2,5,N,NA,Y,left,constrictive,pose,C,and,actually,posed,expansive,pose,C,for,5,minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1013,1246,1050,1083,NA,2,2,4,4,NA,3,3,2,2,NA,1,1,1,4,NA,2,2,2,2,NA,1,1,2,2,NA,133,1,y,AC,4/12/16,12:30,IF,Y,N,Y,30,NA,N,,4/12/16,12:57,4/12/16,12:58,2,2,2,2,2,2,2,2,2,2,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1019,1229,1261,NA,NA,4,5,4,NA,NA,2,2,2,NA,NA,2,2,1,NA,NA,1,2,2,NA,NA,1,5,5,NA,NA,48,1,y,UE,3/30/16,6:30,MP,Y,NA,Y,26,"Participant asked for further clarification during psychopy task. Asked 2 questions during the speech: ""Should it be a specific job?"" ""Should I talk about my strengths now?""",N,,3/30/16,18:53,3/30/16,18:54,2,2,2,2,2,1,1,1,1,3,1,1,Y,N,Y,2,4,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1144,1154,1373,NA,NA,6,3,5,NA,NA,1,2,2,NA,NA,6,4,3,NA,NA,1,2,1,NA,NA,1,1,1,NA,NA,62,1,y,UC,4/3/16,12:00,RM,Y,NA,N,25,"Stop timer dead, used phone. Kept phone out of view from participant ",N,,4/3/16,12:23,4/3/16,12:24,2,2,3,5,3,2,3,3,3,5,4,4,N,N,N,2,1,N,NA,Y,left,position,for,more,than,30s,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1220,1339,1181,1012,NA,2,1,2,1,NA,3,3,3,3,NA,4,3,4,1,NA,2,2,2,1,NA,1,1,1,1,NA,135,1,y,AE,4/12/16,2:00,IF,Y,N,Y,30,Participant,did,not,hold,pose,while,the,speech,instructions,were,expained--instructed,the,participant,to,resume,pose.,Participant,had,to,be,promted,several,times,to,continue-used,all,4,promting,questions,then,repeated,please,continue.,,After,experiment,participant,asked,if,anyone,actually,makes,good,speeches.,N,,4/12/16,14:25,4/12/16,14:27,3,3,3,3,2,4,4,2,3,4,3,2,Y,Y,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1302,1001,1348,1273,NA,3,6,4,5,NA,3,1,2,2,NA,3,6,5,5,NA,2,1,1,1,NA,1,1,1,1,NA,90,1,y,UE,4/6/16,5:00,SS,Y,NA,Y,20,"asked what if he couldn�t make it to the 5 minute mark, stated his name at the beginning of speech",N,,4/6/16,17:18,4/6/16,17:18,3,3,3,4,5,4,4,4,4,4,5,4,Y,N,Y,1,1,N,"right arm at the edge of the table, left arm correct (expansive B)",N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1112,1357,1255,NA,NA,4,3,5,NA,NA,3,2,1,NA,NA,5,3,4,NA,NA,1,1,2,NA,NA,3,1,1,NA,NA,23,1,y,UE,3/27/16,5:15,JD,Y,NA,N,28,Participant,said,she,knew,exactly,what,the,study,was,doing,when,she,began,the,final,power,pose,,mentioned,she,had,seen,a,power,pose,video,before,N,,3/27/16,17:38,3/27/16,17:39,4,4,4,3,3,2,2,4,4,4,4,3,Y,N,Y,2,1,N,"stood far from desk, hands on the edge of the table (expansive B)",N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1045,1357,1285,1267,NA,2,3,4,4,NA,3,2,2,2,NA,4,3,3,4,NA,2,1,2,2,NA,1,1,1,4,NA,3,1,y,UC,3/22/16,5:43,YS,Y,NA,N,23,"Victor was here. participant adjusted her shoes before preparing for the speech; Participant asked whether she had to talk for the full 5 mins, which I answered yes; participant also asked whether she had to look at the camera or us, which victor answered that the participant didn't have to look at the camera; we started the timer about 30 seconds into the speech, and stopped it around 4:43 mins. ",N,,3/22/16,18:04,3/22/16,18:05,1,1,1,1,1,1,1,1,1,1,1,1,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1192,1070,1184,1334,NA,3,1,2,1,NA,2,3,3,3,NA,3,2,2,2,NA,1,2,2,1,NA,2,1,1,1,NA,18,1,y,AE,3/26/16,1:00,IF,Y,N,Y,33,Victor,was,here.,Someone,walked,in,the,room,during,the,first,pose.,Participant,didn't,flip,the,gambling,index,card,but,the,choice,was,not,seen.,N,,3/26/16,13:28,3/26/16,13:29,3,3,3,3,3,3,3,3,3,3,3,3,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1389,1052,1345,1388,NA,5,5,4,2,NA,2,2,2,2,NA,5,2,6,3,NA,1,2,2,2,NA,1,2,1,3,NA,204,1,y,UC,4/20/16,12:00,SS,Y,NA,Y,23,"asked what if she couldn�t make it to 5 minutes, prompted 2 times",N,,4/20/16,12:18,4/20/16,12:19,1,1,1,5,2,1,3,3,4,4,3,5,N,N,N,2,1,N,NA,N,"Holding arm, not body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1085,1154,1208,1260,NA,5,5,5,7,NA,1,1,1,1,NA,5,5,7,3,NA,2,2,2,1,NA,1,1,1,1,NA,216,1,y,UC,4/22/16,9:15,HM,Y,NA,Y,23,NA,N,,4/22/16,9:21,4/22/16,9:36,4,3,3,3,5,3,3,3,3,5,5,5,Y,N,Y,2,2,N,NA,N,Not,holding,body,for,more,than,30s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1389,1154,1161,1143,NA,3,2,1,1,NA,2,3,3,3,NA,3,3,1,1,NA,1,2,2,1,NA,1,1,4,1,NA,80,1,y,UC,4/5/16,2:00,IF,Y,NA,Y,25,Participant,took,and,rolled,die,after,instructions,were,given.,,Re-explained,the,task,and,had,participant,roll,again,at,the,scheduled,time.,N,,4/5/16,14:20,4/5/16,14:22,2,2,2,2,4,2,4,4,3,4,4,3,N,N,N,2,1,N,NA,N,"hands lower, near legs; then one arm held elbow (constrictive C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1109,1357,1078,NA,NA,3,5,4,NA,NA,2,1,2,NA,NA,4,5,3,NA,NA,2,1,2,NA,NA,1,1,1,NA,NA,88,1,y,UC,4/6/16,2:00,JD,Y,NA,Y,24,NA,N,,4/6/16,14:13,4/6/16,14:14,3,2,3,4,3,1,1,2,2,4,4,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,1,n,AC,4/20/16,9:00,SA,N,NA,Y,27,"Didn't want to be video taped, struggled with the five minute speech",N,,4/20/16,9:21,4/20/16,9:22,3,3,3,3,3,3,3,3,3,3,3,3,N,N,N,2,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1107,1312,1060,NA,NA,2,2,3,NA,NA,3,3,3,NA,NA,5,2,5,NA,NA,2,1,2,NA,NA,1,1,2,NA,NA,51,1,y,AE,3/31/16,12:00,AF,Y,N,Y,31,Wears,glasses:,asked,many,questions,about,interview,process,and,what,they,should,do:,apologized,about,speech,N,,3/31/16,11:57,3/31/16,12:30,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1130,1217,1304,1379,NA,3,2,5,2,NA,2,2,1,3,NA,1,3,2,2,NA,2,2,2,1,NA,2,1,4,1,NA,188,1,y,UE,4/18/16,6:30,JD,Y,NA,N,20,Participant,was,not,comfortable,continuing,with,the,speech,after,1:30,,the,speech,task,was,ended,and,the,rest,of,the,study,was,completed,N,,4/18/16,18:47,4/18/16,18:48,3,2,3,2,4,3,3,3,4,4,4,4,N,N,N,2,1,N,standing,away,from,desk,in,expansive,pose,A,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1340,1312,1182,1284,NA,3,2,1,4,NA,2,3,3,2,NA,2,1,2,4,NA,2,1,2,2,NA,1,1,1,1,NA,182,1,y,UC,4/18/16,10:30,SA,Y,NA,Y,27,struggled,during,interview,N,,4/18/16,10:50,4/18/16,10:51,2,2,2,4,3,4,3,3,2,4,2,4,N,N,N,1,1,N,standing,at,an,angle,from,computer,in,expansive,pose,A,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1322,1395,1345,1063,NA,4,2,5,3,NA,2,3,1,2,NA,2,4,4,5,NA,1,1,2,2,NA,1,1,1,3,NA,150,1,y,AC,4/13/16,3:30,SS,Y,N,Y,27,"apologized for speech, forgot to adjust camera for pose b",N,,4/13/16,15:54,4/13/16,15:54,1,1,1,1,1,2,2,2,2,2,2,2,Y,Y,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,n,UC,4/7/16,1:30,AF,Y,NA,N,24,Asked,if,speech,had,to,last,five,minutes:had,to,be,prompted,constantly,and,come,up,with,multiple,questions,on,the,spot,Y,RA,asked,questions,that,were,not,a,part,of,the,script,4/7/16,12:24,4/7/16,13:53,2,2,1,1,2,2,3,2,3,4,2,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1372,1108,1077,1048,NA,3,2,2,2,NA,2,3,3,3,NA,5,2,1,4,NA,2,2,,2,NA,2,2,,1,NA,214,1,y,UE,4/21/16,3:45,IF,Y,NA,N,27,Participant,had,to,be,prompted,multiple,times,during,speech--had,a,hard,time,getting,to,5,min,N,,4/21/16,16:12,4/21/16,16:14,1,2,1,2,2,3,2,2,2,2,2,3,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,1,n,AC,4/8/16,8:30,HM,N,N,N,29,NA,N,,4/8/16,8:57,4/8/16,8:58,3,3,3,3,5,2,2,4,3,5,3,3,N,N,N,2,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1069,1011,1373,1244,NA,6,4,2,6,NA,1,2,2,1,NA,4,4,3,5,NA,2,1,1,2,NA,1,1,1,1,NA,148,1,y,UC,4/13/16,2:00,JD,Y,NA,Y,26,Wanted,to,know,whether,to,look,at,me,or,the,camera,N,,4/13/16,14:18,4/13/16,14:19,2,2,2,2,2,2,2,2,2,3,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1109,1215,1161,1341,NA,6,6,5,6,NA,1,1,1,1,NA,2,1,5,7,NA,2,2,2,1,NA,1,2,4,1,NA,15,1,y,AC,3/25/16,12:15,MP,Y,N,N,35,Participant,has,seen,movie,before.,I,accidentally,stopped/started,video,during,the,constructive,pose,A&B,on,psychopy,task,N,,3/25/16,12:48,3/25/16,12:50,4,3,2,1,4,4,3,3,3,3,2,4,Y,Y,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1335,1251,1256,1097,NA,4,2,5,1,NA,2,2,1,3,NA,6,3,4,1,NA,2,1,2,2,NA,1,4,1,1,NA,212,1,y,UE,4/21/16,1:30,AF,Y,NA,Y,22,Asked,for,clarification,on,impression,task:,did,not,have,dream,job,or,job,they,wanted,to,do,:,instructed,them,to,make,something,up:,needed,lots,of,prompting,N,,4/21/16,13:16,4/21/16,13:52,3,3,3,5,3,2,2,3,2,3,4,4,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1110,1383,1304,NA,NA,6,7,3,NA,NA,1,1,3,NA,NA,5,3,3,NA,NA,2,2,2,NA,NA,1,1,4,NA,NA,35,1,y,AE,3/29/16,2:45,IF,Y,N,Y,31,"Participant asked if they had to stay in the position while preparing the speech, was told yes. Participant asked what would happen if speech was not 5 min, told that they would be promted to continue.  Participant stated their name at the beginning at on the speech.",N,,3/29/16,15:11,3/29/16,15:12,3,3,3,2,3,3,3,2,3,2,1,3,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1315,1070,1176,NA,NA,3,5,5,NA,NA,2,2,2,NA,NA,4,2,3,NA,NA,2,2,2,NA,NA,1,1,1,NA,NA,119,1,y,UE,4/10/16,4:30,JD,Y,NA,N,27,Clearly,relieved,when,speech,was,over,,made,a,comment,pertaining,to,how,glad,he,was,to,be,done,,chewed,gum,before,speech,N,,4/10/16,16:52,4/10/16,16:53,2,2,2,3,3,2,2,2,2,4,2,2,Y,N,Y,1,1,N,expansive,B--standing,back,from,table,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1047,1223,1228,1379,NA,4,2,4,4,NA,2,3,1,2,NA,4,2,3,2,NA,2,2,2,1,NA,1,1,1,1,NA,54,1,y,UE,3/31/16,4:30,IF,Y,NA,N,25,Participant,had,to,be,prompted,may,times,during,speech.,At,the,end,of,the,study,the,participant,said,they,may,have,participated,in,the,same,study,last,semester.,,N,,3/31/16,16:52,3/31/16,16:53,3,4,4,4,4,4,4,4,3,4,4,3,Y,Y,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1239,1275,1142,1226,NA,3,5,5,5,NA,2,1,1,1,NA,4,7,5,4,NA,1,2,2,2,NA,1,1,1,1,NA,149,1,y,UE,4/13/16,2:45,JD,Y,NA,Y,25,Started,off,speech,very,strong,-,then,ran,out,of,things,to,say,and,had,to,run,through,all,the,questions,because,of,her,short,responses,N,,4/13/16,15:05,4/13/16,15:07,3,3,4,4,3,4,4,4,4,4,4,4,N,N,Y,2,1,N,NA,N,expansive,C--moved,feet,around,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1081,1221,1226,1061,NA,2,4,4,7,NA,2,2,1,1,NA,4,5,5,7,NA,2,1,2,2,NA,1,1,1,1,NA,132,1,y,UC,4/12/16,11:15,RT,Y,NA,Y,25,Asked,how,much,time,left,during,speech.,Asked,if,she,could,have,a,prompt.,N,,4/12/16,11:39,4/12/16,11:40,2,3,2,5,2,2,4,3,3,3,4,5,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1056,1154,1100,1267,NA,6,5,5,6,NA,1,1,2,1,NA,6,5,6,5,NA,2,2,2,2,NA,1,1,2,4,NA,103,1,y,UE,4/7/16,5:15,IF,Y,NA,Y,25,Participant,asked,if,they,had,to,go,full,5,min,during,speech--answered,yes.,Participant,asked,if,people,would,actually,be,watching,the,videos--answered,yes.,,,N,,4/7/16,17:34,4/7/16,17:36,4,4,4,4,5,4,4,4,4,5,5,4,N,N,N,2,1,N,NA,N,fidgeted,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,1,n,UC,4/20/16,12:45,SS,N,NA,Y,25,"didn�t want to be filmed, struggled to get to 5 min mark",N,,4/20/16,12:56,4/20/16,12:57,3,3,3,4,3,2,4,4,3,5,5,4,N,N,N,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1183,1010,1323,NA,NA,6,6,5,NA,NA,1,1,1,NA,NA,4,3,6,NA,NA,2,2,2,NA,NA,1,2,1,NA,NA,200,1,y,UC,4/19/16,6:30,MP,Y,NA,N,26,"Asked if ""this is the experiment where you give a speech"" at the beginning of the study. Asked how much time was left during the speech",N,,4/19/16,18:54,4/19/16,18:55,3,4,3,4,5,3,4,4,5,5,5,5,Y,N,Y,2,5,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,n,UC,3/28/16,7:15,JD,N,NA,NA,NA,Participant,was,not,comfortable,being,filmed,,was,given,a,debriefing,form,and,credit,on,SONA,and,was,released,N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1131,1275,1084,NA,NA,3,5,6,NA,NA,2,1,1,NA,NA,3,2,1,NA,NA,1,2,1,NA,NA,2,1,1,NA,NA,142,1,y,UC,4/12/16,8:00,MP,Y,NA,N,26,"Participant was 4 minutes late. He seemed a little thrown off by getting fiimed, was ok with it though. Participant asked if he had to pick a specific job, also asked if I will be asking him questions during the speech. ",N,,4/12/16,20:27,4/12/16,20:28,4,4,3,3,4,3,3,4,3,4,4,3,N,N,N,1,3,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
